company,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Race,Education
Amazon,150000,4,3,Male,White,Bachelor's Degree
Oracle,330000,14,2,Male,White,Bachelor's Degree
Amazon,240000,4,0,Male,Asian,Bachelor's Degree
Amazon,241000,0,0,Male,Asian,PhD
Google,179000,3,0,Male,Hispanic,Bachelor's Degree
Amazon,165000,4,1,Male,White,Bachelor's Degree
Amazon,133000,10,4,Male,Asian,Master's Degree
Apple,345000,14,2,Male,Asian,Master's Degree
Amazon,189000,4,4,Male,Asian,Master's Degree
Amazon,40000,1,0,Male,Asian,Bachelor's Degree
Apple,260000,4,4,Male,Asian,Bachelor's Degree
Amazon,243000,4,0,Male,Asian,Master's Degree
Apple,156000,4,0,Male,Asian,Master's Degree
Microsoft,230000,10,3,Female,Asian,Master's Degree
Microsoft,162000,13,0,Male,Black,PhD
Google,285000,4,4,Female,Asian,Bachelor's Degree
Amazon,57000,0,0,Male,Asian,Bachelor's Degree
Google,363000,5,0,Male,White,Bachelor's Degree
Microsoft,187000,3,0,Male,Asian,Master's Degree
Oracle,181000,1,0,Male,Asian,Master's Degree
Google,68000,5,2,Male,White,Master's Degree
Microsoft,205000,20,6,Male,White,Bachelor's Degree
Google,289000,15,3,Male,White,PhD
Amazon,310000,7,7,Male,Two Or More,Bachelor's Degree
Amazon,225000,5,0,Male,Asian,Bachelor's Degree
Apple,270000,8,1,Male,White,PhD
Apple,219000,16,7,Female,Asian,Master's Degree
Apple,300000,9,1,Male,Asian,Master's Degree
Amazon,240000,2,0,Male,Asian,Master's Degree
Facebook,410000,12,0,Male,Asian,Master's Degree
Google,121000,1,0,Male,White,Bachelor's Degree
Microsoft,75000,9,4,Male,Asian,Master's Degree
Microsoft,149000,4,1,Female,Asian,Master's Degree
Facebook,120000,0,0,Female,White,Bachelor's Degree
Amazon,136000,7,0,Male,White,Bachelor's Degree
Amazon,200000,2,0,Male,Asian,Master's Degree
Amazon,165000,1,0,Male,White,PhD
Google,328000,8,8,Female,Asian,Bachelor's Degree
Apple,500000,15,0,Male,Asian,Bachelor's Degree
Oracle,140000,2,1,Male,White,Bachelor's Degree
Facebook,199000,11,3,Female,White,Bachelor's Degree
Microsoft,138000,0,0,Male,White,Some College
Google,187000,6,3,Male,Hispanic,Bachelor's Degree
Facebook,370000,5,0,Male,Asian,Master's Degree
Amazon,98000,5,0,Male,White,Master's Degree
Amazon,266000,16,0,Male,Black,Master's Degree
Amazon,214000,5,0,Male,Two Or More,Master's Degree
Facebook,247000,1,1,Male,Asian,PhD
Microsoft,185000,13,3,Male,White,Master's Degree
Amazon,94000,2,2,Male,Asian,Bachelor's Degree
Facebook,405000,6,0,Male,White,Bachelor's Degree
Google,142000,6,1,Male,White,Bachelor's Degree
Microsoft,156000,17,12,Male,White,Master's Degree
Microsoft,88000,0,0,Male,Black,Some College
Amazon,240000,4,3,Male,Two Or More,Bachelor's Degree
Amazon,185000,7,1,Male,Hispanic,Master's Degree
Amazon,260000,7,7,Male,Asian,Master's Degree
Facebook,300000,6,1,Male,Asian,Master's Degree
Amazon,215000,8,5,Male,Asian,Bachelor's Degree
Amazon,240000,6,0,Male,Asian,Master's Degree
Amazon,207000,4,4,Male,Asian,Master's Degree
Google,184000,1,1,Male,White,Bachelor's Degree
Amazon,158000,1,0,Male,Asian,Bachelor's Degree
Apple,208000,3,0,Male,White,Bachelor's Degree
Amazon,135000,7,5,Male,Hispanic,Bachelor's Degree
Google,353000,24,1,Male,White,Bachelor's Degree
Microsoft,157000,0,0,Female,Asian,Master's Degree
Apple,220000,7,1,Female,White,PhD
Apple,287000,3,1,Male,Asian,Master's Degree
Google,295000,5,5,Male,White,Master's Degree
Google,200000,1,1,Male,Asian,Bachelor's Degree
Google,473000,15,2,Male,White,Master's Degree
Facebook,330000,9,4,Female,Asian,Master's Degree
Amazon,152000,5,1,Female,Asian,Master's Degree
Microsoft,160000,6,4,Male,White,Bachelor's Degree
Google,470000,20,5,Male,White,Bachelor's Degree
Apple,205000,5,2,Male,Asian,Bachelor's Degree
Facebook,293000,5,3,Male,Asian,Bachelor's Degree
Amazon,181000,2,0,Male,Hispanic,Bachelor's Degree
Facebook,233000,6,0,Male,White,Master's Degree
Amazon,192000,0,0,Female,Asian,Master's Degree
Microsoft,440000,12,4,Male,White,Bachelor's Degree
Apple,245000,8,1,Male,Asian,Master's Degree
Amazon,275000,2,0,Male,Asian,Master's Degree
Facebook,455000,3,0,Male,White,Some College
Amazon,171000,6,6,Male,White,Bachelor's Degree
Facebook,588000,19,0,Male,White,Some College
Microsoft,350000,13,0,Female,Black,Master's Degree
Microsoft,270000,15,1,Male,Black,Bachelor's Degree
Amazon,352000,19,1,Male,Black,Master's Degree
Google,336000,14,7,Male,Hispanic,Master's Degree
Microsoft,180000,3,0,Male,White,Some College
Microsoft,140000,3,1,Male,Asian,Bachelor's Degree
Oracle,342000,7,7,Male,White,PhD
Google,170000,5,2,Male,Hispanic,Master's Degree
Facebook,299000,5,0,Male,Hispanic,Highschool
Amazon,500000,11,10,Male,White,Bachelor's Degree
Facebook,177000,0,0,Male,Asian,Master's Degree
Facebook,380000,4,4,Male,Asian,Master's Degree
Google,314000,9,3,Male,White,Bachelor's Degree
Apple,190000,6,3,Male,White,Bachelor's Degree
Oracle,78000,5,5,Female,Asian,Bachelor's Degree
Apple,425000,11,0,Male,White,Bachelor's Degree
Microsoft,326000,22,22,Male,Asian,Master's Degree
Google,350000,4,3,Male,Asian,PhD
Apple,183000,2,0,Male,Asian,Master's Degree
Facebook,99000,0,0,Male,Asian,Bachelor's Degree
Microsoft,138000,4,1,Male,Asian,Master's Degree
Oracle,133000,4,1,Female,Asian,Master's Degree
Google,85000,2,2,Female,Asian,Bachelor's Degree
Amazon,165000,15,2,Male,Asian,Bachelor's Degree
Microsoft,162000,3,1,Male,White,Bachelor's Degree
Google,207000,3,2,Male,Asian,Bachelor's Degree
Microsoft,369000,3,0,Female,Black,Master's Degree
Microsoft,110000,18,11,Male,Asian,Master's Degree
Apple,165000,2,0,Male,Asian,Bachelor's Degree
Microsoft,130000,5,1,Male,White,Some College
Amazon,58000,7,1,Male,Asian,Master's Degree
Amazon,248000,3,3,Male,Asian,Bachelor's Degree
